name,degree_centrality,eigenvector_centrality,betweenness_centrality
Talbot,0.375,0.25167418,0.44689958
Gloucester,0.32142857,0.31638455,0.22368086
Plantagenet,0.30357143,0.33356289,0.16660335
Pucelle,0.26785714,0.23150761,0.16405616
King,0.21428571,0.28267361,0.06563297
Warwick,0.21428571,0.27711051,0.04691956
Winchester,0.19642857,0.23032786,0.06089811
Charles,0.19642857,0.21445381,0.04490032
Somerset,0.19642857,0.25304991,0.02527654
Bedford,0.17857143,0.17103092,0.07853489
Exeter,0.17857143,0.21376235,0.03655107
Suffolk,0.16071429,0.2242241,0.02113268
Alencon,0.14285714,0.16540496,0.03604493
Reignier,0.14285714,0.17005352,0.03578251
Vernon,0.125,0.1685852,0.02628644
Burgundy,0.10714286,0.10989571,0.00901505
"1
Servingman",0.10714286,0.08544345,0.037474
Bastard,0.08928571,0.09710659,0.00063686
Mayor,0.07142857,0.12054717,0.0
"3
Servingman",0.07142857,0.07968187,0.00355916
Basset,0.07142857,0.11997087,0.00053316
Lucy,0.07142857,0.1124949,0.00152847
Captain,0.07142857,0.08132861,0.00401224
Lawyer,0.05357143,0.08227506,0.0
Falstaff,0.05357143,0.0707481,0.00127886
Countess,0.05357143,0.03248204,0.03571429
"5
Messenger",0.05357143,0.04293103,0.0008658
"2
Servingman",0.05357143,0.05245789,0.0
Shepherd,0.05357143,0.09175218,0.0
"3
Messenger",0.05357143,0.06701453,0.0005328
Gargrave,0.05357143,0.03424804,0.00097403
Salisbury,0.05357143,0.03152921,0.07012987
Sentinel,0.05357143,0.04598545,0.03571429
"1
Warder",0.03571429,0.043777,0.0
Mortimer,0.03571429,0.03677661,0.03571429
Watch,0.03571429,0.02830608,0.0
"French
Soldier",0.03571429,0.02830608,0.0
"1
Messenger",0.03571429,0.04192153,0.0
Servingmen,0.03571429,0.05956146,0.0
Boy,0.03571429,0.00347632,0.03571429
Glansdale,0.03571429,0.03115046,0.0
Scout,0.03571429,0.04858635,0.0
Margaret,0.03571429,0.04295491,0.0
"2
Messenger",0.03571429,0.04192153,0.0
Servant,0.01785714,0.02741919,0.0
"6
Messenger",0.01785714,0.03634011,0.0
John,0.01785714,0.02741919,0.0
Legate,0.01785714,0.025093,0.0
Sergeant,0.01785714,0.00501003,0.0
General,0.01785714,0.02741919,0.0
"2
Warder",0.01785714,0.00930855,0.0
Woodville,0.01785714,0.03446845,0.0
Keeper,0.01785714,0.00400663,0.0
Gunner,0.01785714,0.00037875,0.0
Porter,0.01785714,0.00353887,0.0
"4
Messenger",0.01785714,0.02741919,0.0
"English
Soldier",0.01785714,0.02522216,0.0
