name,degree_centrality,eigenvector_centrality,betweenness_centrality
"King
Henry",0.56818182,0.53385972,0.71895701
Exeter,0.25,0.31554427,0.12193446
Pistol,0.18181818,0.17986053,0.16571529
Fluellen,0.18181818,0.19024988,0.10200846
Constable,0.18181818,0.07565986,0.14485553
"French
King",0.18181818,0.23231606,0.26580338
"Queen
Isabel",0.15909091,0.24453497,0.02219873
Gower,0.15909091,0.18677488,0.05655391
Boy,0.15909091,0.11242163,0.01384778
Dauphin,0.13636364,0.10936803,0.07492953
Westmorland,0.13636364,0.23385167,0.01238548
Gloucester,0.11363636,0.17024067,0.01213883
Orleans,0.11363636,0.03730861,0.00546159
Rambures,0.09090909,0.03524531,0.00190275
Canterbury,0.09090909,0.16670711,0.01303735
Williams,0.09090909,0.14790926,0.00306554
Bedford,0.09090909,0.12440846,0.00105708
Hostess,0.09090909,0.05945529,0.0
Nym,0.09090909,0.05945529,0.0
Bardolph,0.09090909,0.05945529,0.0
Scroop,0.09090909,0.1565602,0.00394644
Salisbury,0.06818182,0.1408013,0.00597252
Brittany,0.06818182,0.0603425,0.0
Bates,0.06818182,0.11207967,0.00052854
"2
Messenger",0.06818182,0.02142969,0.0
Macmorris,0.06818182,0.06372871,0.0
Katherine,0.06818182,0.13156982,0.0
Jamy,0.06818182,0.06372871,0.0
Cambridge,0.06818182,0.11669981,0.0
Grey,0.06818182,0.11669981,0.0
Alice,0.06818182,0.13156982,0.0
Ely,0.04545455,0.06972744,0.0
Erpingham,0.04545455,0.10180444,0.0
Court,0.04545455,0.09339517,0.0
Montjoy,0.04545455,0.10180444,0.0
"French
Soldier",0.04545455,0.04226154,0.0
Bourbon,0.04545455,0.01633371,0.0
Burgundy,0.04545455,0.11254644,0.0
Governor,0.02272727,0.07718976,0.0
"1
Messenger",0.02272727,0.03358994,0.0
Grandpre,0.02272727,0.0109394,0.0
York,0.02272727,0.07718976,0.0
Warwick,0.02272727,0.02750827,0.0
Herald,0.02272727,0.07718976,0.0
Ambassador,0.02272727,0.07718976,0.0
