name,degree_centrality,eigenvector_centrality,betweenness_centrality
Richard,0.50769231,0.42508509,0.5298028
Buckingham,0.29230769,0.32071007,0.10444618
"Queen
Elizabeth",0.27692308,0.33102392,0.09208989
Hastings,0.26153846,0.29802656,0.0946312
Stanley,0.18461538,0.23313668,0.12658508
Duchess,0.16923077,0.1970512,0.03922047
Rivers,0.13846154,0.22772846,0.00269574
Dorset,0.13846154,0.23763458,0.00374854
Brakenbury,0.12307692,0.13300848,0.03926053
"King
Edward",0.10769231,0.2079262,0.00049451
Anne,0.10769231,0.15772552,0.03020604
"Queen
Margaret",0.10769231,0.20430726,0.00082386
Richmond,0.10769231,0.07861889,0.25472756
Clarence,0.07692308,0.06721205,0.0154098
York,0.07692308,0.14054305,0.0013294
Ratcliffe,0.07692308,0.1127918,0.01270719
Catesby,0.07692308,0.14918833,0.00086538
Grey,0.07692308,0.13330215,0.01623512
"Ghost
Hastings",0.07692308,0.00096292,0.08541667
"Prince
Edward",0.07692308,0.12755806,0.0009375
"Ghost
Rivers",0.06153846,0.0001317,0.00240385
"1
Murderer",0.06153846,0.06538174,0.00622711
"Ghost
Edward",0.06153846,0.00859573,0.16482372
Ely,0.06153846,0.12806052,0.0
"Ghost
Grey",0.04615385,0.00012247,0.0
"Ghost
Vaughan",0.04615385,0.00012247,0.0
Mayor,0.04615385,0.08758482,0.0
"5
Messenger",0.04615385,0.04811589,0.02063301
"Ghost
Anne",0.04615385,0.0052529,0.02804487
Priest,0.04615385,0.06570792,0.00119391
"1
Messenger",0.04615385,0.05886112,0.0
Archbishop,0.04615385,0.05886112,0.0
"2
Murderer",0.04615385,0.02663703,0.0
Boy,0.04615385,0.05886112,0.0
Daughter,0.04615385,0.05886112,0.0
Cardinal,0.03076923,0.0620499,0.0
Oxford,0.03076923,0.00804648,0.01442308
"2
Lord",0.03076923,0.05051485,0.0
"1
Lord",0.03076923,0.05051485,0.0
"Ghost
Buckingham",0.03076923,0.04315715,0.0443109
"Ghosts
York",0.03076923,0.00062361,0.00192308
Keeper,0.03076923,0.0200799,0.0
"Ghost
Clarence",0.03076923,0.00010088,0.00096154
"Ghost
Henry
VI",0.03076923,0.00087235,0.02692308
Blunt,0.03076923,0.00804648,0.01442308
Herbert,0.03076923,0.00161404,0.00024038
"1
Citizen",0.03076923,0.0,0.0
Tyrrel,0.03076923,0.07479265,0.0
Pursuivant,0.03076923,0.03647694,0.0
"6
Messenger",0.03076923,0.04745569,0.0
Vaughan,0.03076923,0.02467952,0.00016026
"3
Citizen",0.03076923,0.0,0.0
"2
Citizen",0.03076923,0.0,0.0
"4
Messenger",0.03076923,0.00724302,0.00072115
"3
Messenger",0.03076923,0.02410675,0.00845353
Lovell,0.03076923,0.0725178,0.0
"2
Gentleman",0.01538462,0.01581772,0.0
"1
Gentleman",0.01538462,0.04263027,0.0
Sheriff,0.01538462,0.03216238,0.0
Citizens,0.01538462,0.03216238,0.0
Page,0.01538462,0.04263027,0.0
"2
Messenger",0.01538462,0.02988753,0.0
Norfolk,0.01538462,0.04263027,0.0
Surrey,0.01538462,0.04263027,0.0
Christopher,0.01538462,0.02338034,0.0
"7
Messenger",0.01538462,0.04263027,0.0
